country,state,City,station,Date,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,AQI,,
India,Assam,Guwahati,"IITG, Guwahati - PCBA",13-01-2025 14:00:00,26.2028636,91.70046436,NO2,NA,NA,NA,62,,
India,Assam,Guwahati,"IITG, Guwahati - PCBA",14-01-2025 14:00:00,26.2028636,91.70046436,NH3,NA,NA,NA,106,,
India,Assam,Guwahati,"IITG, Guwahati - PCBA",15-01-2025 14:00:00,26.2028636,91.70046436,OZONE,16,54,30,109,,
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",16-01-2025 14:00:00,26.10887,91.589544,NH3,1,37,6,106,,
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",17-01-2025 14:00:00,26.10887,91.589544,SO2,6,13,11,108,,
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",18-01-2025 14:00:00,26.1875,91.744194,PM10,61,190,121,107,,
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2025 14:00:00,26.1875,91.744194,CO,28,105,53,90,,
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-01-2025 14:00:00,26.181742,91.78063,PM10,84,474,241,68,,
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-01-2025 14:00:00,26.181742,91.78063,CO,36,106,68,43,,
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",20-01-2025 14:00:00,25.56752,83.966379,NH3,3,3,3,54,,
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",20-01-2025 14:00:00,25.56752,83.966379,OZONE,12,83,35,65,,
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-01-2025 14:00:00,25.7808257,84.7446768,PM10,94,125,107,54,,
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",20-01-2025 14:00:00,24.792403,84.992416,PM10,61,245,119,289,,
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",20-01-2025 14:00:00,24.792403,84.992416,NH3,5,5,5,68,,
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-01-2025 14:00:00,24.762518,84.982348,PM2.5,8,59,32,59,,
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-01-2025 14:00:00,24.762518,84.982348,NO2,12,22,16,80,,
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",20-01-2025 14:00:00,26.349082,92.68449,CO,14,102,37,80,,
India,Assam,Silchar,"Tarapur, Silchar - PCBA",20-01-2025 14:00:00,24.82827,92.79525,CO,16,30,19,93,,
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",20-01-2025 14:00:00,26.987634,94.636574,NO2,18,41,30,96,,
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",20-01-2025 14:00:00,26.146529,87.454184,PM2.5,NA,NA,NA,77,,
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",20-01-2025 14:00:00,26.146529,87.454184,PM10,NA,NA,NA,101,,
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",20-01-2025 14:00:00,26.146529,87.454184,NH3,3,4,4,57,,
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-01-2025 14:00:00,13.615387,79.40923,PM10,22,141,31,71,,
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-01-2025 14:00:00,13.615387,79.40923,NH3,2,7,4,107,,
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-01-2025 14:00:00,16.536107,80.594233,NO2,7,11,9,84,,
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-01-2025 14:00:00,16.536107,80.594233,SO2,7,12,8,90,,
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",20-01-2025 14:00:00,16.486692,80.699436,PM10,NA,NA,NA,114,,
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",20-01-2025 14:00:00,16.509717,80.612222,NO2,43,64,54,110,,
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",20-01-2025 14:00:00,16.554731,80.64911,CO,18,66,35,116,,
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-01-2025 14:00:00,17.72,83.3,PM10,108,429,218,117,,
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",20-01-2025 14:00:00,26.071318,91.87488,NH3,1,4,2,NA ,,
India,Assam,Guwahati,"IITG, Guwahati - PCBA",20-01-2025 14:00:00,26.2028636,91.70046436,PM10,NA,NA,NA,92,,
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-01-2025 14:00:00,26.80365,84.51954,CO,56,109,108,92,,
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-01-2025 14:00:00,25.251013,86.989001,PM2.5,38,210,135,67,,
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-01-2025 14:00:00,25.251013,86.989001,CO,52,73,66,79,,
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",20-01-2025 14:00:00,25.56752,83.966379,PM2.5,98,375,228,64,,
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-01-2025 14:00:00,24.762518,84.982348,SO2,7,12,8,61,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-01-2025 14:00:00,25.697189,85.2459,CO,37,76,60,56,,
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",20-01-2025 14:00:00,25.560083,87.553265,NO2,4,37,13,52,,
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",20-01-2025 14:00:00,25.560083,87.553265,SO2,8,12,10,41,,
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",20-01-2025 14:00:00,25.560083,87.553265,CO,6,10,8,67,,
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",20-01-2025 14:00:00,25.5626095,84.663264,NH3,1,1,1,41,,
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",20-01-2025 14:00:00,25.5626095,84.663264,OZONE,8,98,37,69,,
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",20-01-2025 14:00:00,24.75746,84.366208,CO,4,56,43,85,,
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-01-2025 14:00:00,16.9872867,81.7363176,PM10,104,138,123,NA ,,
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-01-2025 14:00:00,16.9872867,81.7363176,OZONE,1,5,4,91,,
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",20-01-2025 14:00:00,14.675886,77.593027,PM10,43,71,55,87,,
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",20-01-2025 14:00:00,22.368195,82.746431,NO2,29,50,34,104,,
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",20-01-2025 14:00:00,22.368195,82.746431,NH3,1,1,1,90,,
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",20-01-2025 14:00:00,22.368195,82.746431,CO,25,48,40,82,,
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",20-01-2025 14:00:00,22.348441,82.549611,NH3,1,7,2,73,,
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",20-01-2025 14:00:00,22.348441,82.549611,SO2,7,27,10,99,,
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",20-01-2025 14:00:00,22.348441,82.549611,OZONE,35,36,35,111,,
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",20-01-2025 14:00:00,22.12665,83.483212,PM2.5,54,151,89,117,,
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",20-01-2025 14:00:00,22.12665,83.483212,CO,24,42,39,112,,
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",20-01-2025 14:00:00,22.1910172,83.5197009,PM10,NA,NA,NA,98,,
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",20-01-2025 14:00:00,21.258815,81.578979,NO2,79,99,88,105,,
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",20-01-2025 14:00:00,21.219665,81.630094,NO2,72,118,87,126,,
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",20-01-2025 14:00:00,21.219665,81.630094,CO,30,104,73,142,,
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",20-01-2025 14:00:00,21.219665,81.630094,OZONE,2,13,2,139,,
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",20-01-2025 14:00:00,21.237755,81.705301,PM2.5,54,73,61,150,,
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",20-01-2025 14:00:00,21.237755,81.705301,SO2,10,29,13,142,,
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",20-01-2025 14:00:00,21.237755,81.705301,CO,38,75,65,68,,
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",20-01-2025 14:00:00,21.371751,81.664929,NH3,3,3,3,90,,
India,Delhi,Delhi,"Alipur, Delhi - DPCC",20-01-2025 14:00:00,28.815329,77.15301,PM2.5,187,447,329,99,,
India,Bihar,Patna,"Muradpur, Patna - BSPCB",20-01-2025 14:00:00,25.619651,85.147382,PM10,142,177,158,100,,
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-01-2025 14:00:00,25.599486,85.113666,PM10,NA,NA,NA,90,,
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-01-2025 14:00:00,25.599486,85.113666,CO,38,42,42,121,,
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",20-01-2025 14:00:00,25.366336,87.117468,NO2,1,12,7,174,,
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",20-01-2025 14:00:00,25.366336,87.117468,OZONE,29,30,30,243,,
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",20-01-2025 14:00:00,25.0328,85.41948,PM2.5,87,253,169,161,,
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",20-01-2025 14:00:00,21.194815,81.31477,SO2,2,23,8,117,,
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",20-01-2025 14:00:00,21.185571,81.343175,PM2.5,27,192,75,116,,
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",20-01-2025 14:00:00,21.185571,81.343175,NO2,7,8,8,114,,
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",20-01-2025 14:00:00,22.08815,82.13737,NO2,14,22,20,115,,
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",20-01-2025 14:00:00,22.118125,83.140608,PM10,NA,NA,NA,113,,
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",20-01-2025 14:00:00,25.0328,85.41948,NH3,1,2,2,101,,
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",20-01-2025 14:00:00,25.0328,85.41948,SO2,2,14,8,85,,
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",20-01-2025 14:00:00,25.0328,85.41948,CO,14,28,21,98,,
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",20-01-2025 14:00:00,25.859655,85.77944,NH3,NA,NA,NA,111,,
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",20-01-2025 14:00:00,25.859655,85.77944,CO,69,86,74,75,,
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",20-01-2025 14:00:00,24.952822,84.002396,PM2.5,30,167,79,90,,
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-01-2025 14:00:00,27.308328,84.531742,PM2.5,NA,NA,NA,87,,
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-01-2025 14:00:00,27.308328,84.531742,NO2,3,7,5,80,,
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-01-2025 14:00:00,27.308328,84.531742,SO2,2,4,2,92,,
India,Bihar,Munger,"Town Hall, Munger - BSPCB",20-01-2025 14:00:00,25.376776,86.471523,NO2,30,33,32,97,,
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",20-01-2025 14:00:00,30.751462,76.762879,PM10,122,150,135,83,,
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",20-01-2025 14:00:00,30.751462,76.762879,CO,24,42,31,NA ,,
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",20-01-2025 14:00:00,30.719859,76.738637,PM10,74,177,123,56,,
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",20-01-2025 14:00:00,30.719859,76.738637,NH3,7,16,12,53,,
India,Delhi,Delhi,"Alipur, Delhi - DPCC",20-01-2025 14:00:00,28.815329,77.15301,CO,4,100,26,40,,
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",20-01-2025 14:00:00,28.695381,77.181665,NO2,43,128,80,39,,
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",20-01-2025 14:00:00,28.4706914,77.1099364,PM2.5,NA,NA,NA,33,,
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-01-2025 14:00:00,25.586562,85.043586,CO,NA,NA,NA,40,,
India,Delhi,Delhi,"ITO, Delhi - CPCB",20-01-2025 14:00:00,28.628624,77.24106,PM10,113,256,165,51,,
India,Delhi,Delhi,"ITO, Delhi - CPCB",20-01-2025 14:00:00,28.628624,77.24106,NO2,52,236,107,60,,
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",20-01-2025 14:00:00,28.73282,77.170633,PM10,195,500,301,72,,
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",20-01-2025 14:00:00,28.73282,77.170633,NH3,NA,NA,NA,70,,
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",20-01-2025 14:00:00,28.73282,77.170633,OZONE,2,93,11,68,,
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",20-01-2025 14:00:00,28.58028,77.233829,PM2.5,148,414,309,55,,
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",20-01-2025 14:00:00,28.58028,77.233829,OZONE,16,93,34,105,,
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",20-01-2025 14:00:00,28.5918245,77.2273074,PM10,NA,NA,NA,166,,
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",20-01-2025 14:00:00,28.6573814,77.1585447,PM10,NA,NA,NA,182,,
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",20-01-2025 14:00:00,28.6573814,77.1585447,OZONE,NA,NA,NA,155,,
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",20-01-2025 14:00:00,28.530785,77.271255,PM2.5,230,426,351,144,,
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",20-01-2025 14:00:00,28.530785,77.271255,PM10,147,407,251,150,,
